"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Flamengo Esports",8,8,0,29.2,153,86,1.78,1.02,0.14,"8.4%",45.4,54.6,-537,"25%","50%","50%","44%","50%","52%",,"75%","100%","51.0%","54.7%",3.74,1.81,1.6
"FURIA Esports",8,2,6,32.7,115,153,0.75,1.03,-1.22,"-6.9%",43.6,-18.6,-1283,"50%","63%","38%","50%","63%","52%",,"13%","25%","49.8%","43.1%",3.3,1.57,1.23
"INTZ",8,2,6,30.9,79,129,0.61,0.84,-0.98,"-8.3%",40.7,-15.7,-581,"38%","38%","13%","31%","25%","42%","50%","13%","25%","50.5%","48.9%",3.73,1.41,1.43
"KaBuM! e-Sports",8,4,4,30.4,119,121,0.98,0.99,0.29,"-1.6%",60.6,-10.6,218,"38%","50%","63%","44%","75%","65%","100%","38%","43%","49.5%","53.2%",2.98,1.41,1.59
"LOUD",8,4,4,37.5,133,132,1.01,0.88,-0.09,"0.1%",40,10,-868,"50%","50%","25%","13%","75%","49%","0%","50%","43%","49.6%","51.9%",3.64,1.38,1.6
"Netshoes Miners",8,1,7,33.1,107,143,0.75,0.94,-0.57,"-5.8%",40.3,-27.8,-310,"75%","13%","38%","56%","38%","39%",,"38%","36%","49.1%","47.1%",3.49,1.22,1.25
"paiN Gaming",8,6,2,31.8,135,125,1.08,1.02,1.18,"5.3%",64.8,10.2,1312,"63%","63%","88%","69%","75%","59%",,"75%","64%","51.3%","53.4%",3.42,1.44,1.61
"RED Canids",8,4,4,30.5,133,113,1.18,1.01,1,"7.5%",64.7,-14.7,1585,"50%","50%","63%","75%","50%","61%",,"50%","60%","50.9%","51.3%",3.53,1.77,1.23
"Rensga eSports",8,3,5,29.3,97,126,0.77,0.95,-0.71,"-2.4%",36.6,0.9,-835,"38%","38%","50%","50%","13%","33%",,"25%","44%","49.8%","48.2%",2.99,1.26,1.29
"Vorax Liberty",8,6,2,29.6,137,82,1.67,0.93,1.1,"3.7%",63.2,11.8,1298,"75%","88%","75%","69%","38%","47%",,"75%","80%","48.4%","48.2%",3.42,1.33,1.45